frm_class;frm_snr;frm_nobs;depth_from;depth_to;tsw;variable;network;station;instrument;tsw;lon;lat;idx
very representative;5.222602;7978;0.05;0.05;bulk;soil_moisture;ARM;Meeker;Water-Matric-Potential-Sensor-229L-E;bulk;-96.988;35.564;140
not representative;-1.4185967;11955;0.05;0.05;bulk;soil_moisture;ARM;Meeker;Water-Matric-Potential-Sensor-229L-W;bulk;-96.988;35.564;141
undeducible;-28.224712;5233;0.05;0.05;bulk;soil_moisture;ARM;Morris;Water-Matric-Potential-Sensor-229L-E;bulk;-95.856;35.688;142
undeducible;-16.652647;4020;0.05;0.05;bulk;soil_moisture;ARM;Morris;Water-Matric-Potential-Sensor-229L-W;bulk;-95.856;35.688;143
representative;1.9333582;7110;0.025;0.025;bulk;soil_moisture;ARM;Morrison;SMP1-A;bulk;-97.06905;36.37354;144
representative;2.3288238;6347;0.025;0.025;bulk;soil_moisture;ARM;Morrison;SMP1-B;bulk;-97.06905;36.37354;145
very representative;4.3025837;7199;0.025;0.025;bulk;soil_moisture;ARM;Morrison;SMP1-C;bulk;-97.06905;36.37354;146
very representative;4.5629992;7424;0.05;0.05;bulk;soil_moisture;ARM;Morrison;Hydraprobe-II-Sdi-12-E;bulk;-97.06905;36.37354;147
very representative;6.7391834;7476;0.05;0.05;bulk;soil_moisture;ARM;Morrison;Hydraprobe-II-Sdi-12-S;bulk;-97.06905;36.37354;148
very representative;6.2268906;7361;0.05;0.05;bulk;soil_moisture;ARM;Morrison;Hydraprobe-II-Sdi-12-W;bulk;-97.06905;36.37354;149
not representative;-15.683611;6702;0.1;0.1;bulk;soil_moisture;ARM;Morrison;Hydraprobe-II-Sdi-12-E;bulk;-97.06905;36.37354;150
not representative;-11.650988;7068;0.1;0.1;bulk;soil_moisture;ARM;Morrison;Hydraprobe-II-Sdi-12-S;bulk;-97.06905;36.37354;151
not representative;-12.549234;5893;0.1;0.1;bulk;soil_moisture;ARM;Morrison;Hydraprobe-II-Sdi-12-W;bulk;-97.06905;36.37354;152
not representative;-0.50557643;5752;0.025;0.025;bulk;soil_moisture;ARM;Newkirk;SMP1-A;bulk;-97.082;36.926;153
not representative;-0.37030655;5439;0.025;0.025;bulk;soil_moisture;ARM;Newkirk;SMP1-B;bulk;-97.082;36.926;154
representative;1.3001913;5877;0.025;0.025;bulk;soil_moisture;ARM;Newkirk;SMP1-C;bulk;-97.082;36.926;155
representative;1.4787241;7074;0.05;0.05;bulk;soil_moisture;ARM;Newkirk;Hydraprobe-II-Sdi-12-E;bulk;-97.082;36.926;156
representative;2.0951893;7064;0.05;0.05;bulk;soil_moisture;ARM;Newkirk;Hydraprobe-II-Sdi-12-S;bulk;-97.082;36.926;157
not representative;-0.6372745;7028;0.05;0.05;bulk;soil_moisture;ARM;Newkirk;Hydraprobe-II-Sdi-12-W;bulk;-97.082;36.926;158
undeducible;-20.51799;2448;0.1;0.1;bulk;soil_moisture;ARM;Newkirk;Hydraprobe-II-Sdi-12-E;bulk;-97.082;36.926;159
undeducible;-37.045086;3622;0.1;0.1;bulk;soil_moisture;ARM;Newkirk;Hydraprobe-II-Sdi-12-S;bulk;-97.082;36.926;160
not representative;-11.284535;3467;0.1;0.1;bulk;soil_moisture;ARM;Newkirk;Hydraprobe-II-Sdi-12-W;bulk;-97.082;36.926;161
very representative;3.5003505;2365;0.025;0.025;bulk;soil_moisture;ARM;Okmulgee;SMP1-A;bulk;-96.065;35.615;162
very representative;6.825311;2432;0.025;0.025;bulk;soil_moisture;ARM;Okmulgee;SMP1-B;bulk;-96.065;35.615;163
very representative;7.08545;2378;0.025;0.025;bulk;soil_moisture;ARM;Okmulgee;SMP1-C;bulk;-96.065;35.615;164
